BATCH_NAME|SEQUENCE_NUMERATOR|STEP_NAME|STEP_DESCRIPTION|STEP_TYPE|SECRET_NAME|TARGET_TABLE|STEP_INIT|STEP_MAIN|STEP_CLOSURE
PDML_PJ|6|PROF_INFOS_AUX_ALL_EXPANDED|Mise a la maille quotidienne des informations de la table INFO_AUX_ALL|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_PROF_INFOS_AUX_ALL_EXPANDED|exec PDY_PDML_TRVL_QLF.MD_T_PROF_INFOS_AUX_ALL_EXPANDED;|exec PDY_PDML_TRVL_QLF.MI_T_PROF_INFOS_AUX_ALL_EXPANDED;|exec PDY_PDML_TRVL_QLF.MC_T_PROF_INFOS_AUX_ALL_EXPANDED;
PDML_IDA|12|MV_LMM|lancement du module Fit|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_OUTPUT_LMER_COEFF_LMM|exec PDY_PDML_TRVL_QLF.MD_T_OUTPUT_LMER_COEFF_LMM;|exec PDY_PDML_TRVL_QLF.MV_LMM_CALL ('RES2,RES1') ;|exec PDY_PDML_TRVL_QLF.MC_T_OUTPUT_LMER_COEFF_LMM;
PDML_PJ|7|MV_P_CAL_MARGE|Ventilation des appels de la procedure CALAGE SUR MARGE par maille,profile et GPM|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_PDML_POIDS|exec PDY_PDML_TRVL_QLF.MD_T_PDML_POIDS;|exec PDY_PDML_TRVL_QLF.MV_P_CAL_MARGE(0);|exec PDY_PDML_TRVL_QLF.MC_T_PDML_POIDS;
PDML_IDA|13|MV_LMM|lancement du module Fit|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_OUTPUT_LMER_COEFF_LMM|exec PDY_PDML_TRVL_QLF.MC_T_OUTPUT_LMER_COEFF_LMM;|exec PDY_PDML_TRVL_QLF.MV_LMM_CALL ('RES11,PRO5') ;|exec PDY_PDML_TRVL_QLF.MC_T_OUTPUT_LMER_COEFF_LMM;
PDML_PJ|8|MV_P_CAL_MARGE|Ventilation des appels de la procedure CALAGE SUR MARGE par maille,profile et GPM|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_PDML_POIDS|exec PDY_PDML_TRVL_QLF.MC_T_PDML_POIDS;|exec PDY_PDML_TRVL_QLF.MV_P_CAL_MARGE(1);|exec PDY_PDML_TRVL_QLF.MC_T_PDML_POIDS;
PDML_IDA|14|MV_LMM|lancement du module Fit|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_OUTPUT_LMER_COEFF_LMM|exec PDY_PDML_TRVL_QLF.MC_T_OUTPUT_LMER_COEFF_LMM;|exec PDY_PDML_TRVL_QLF.MV_LMM_CALL ('PRO2,PRD3');|exec PDY_PDML_TRVL_QLF.MC_T_OUTPUT_LMER_COEFF_LMM;
PDML_PJ|9|MV_P_CAL_MARGE|Ventilation des appels de la procedure CALAGE SUR MARGE par maille,profile et GPM|SQLV|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_PDML_POIDS|exec PDY_PDML_TRVL_QLF.MC_T_PDML_POIDS;|exec PDY_PDML_TRVL_QLF.MV_P_CAL_MARGE(2);|exec PDY_PDML_TRVL_QLF.MC_T_PDML_POIDS;
PDML_IDA|15|VAUX_COEFF|Preparation de la phase Predict|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_W_VAUX_COEFF_LMM|exec PDY_PDML_TRVL_QLF.MD_T_W_VAUX_COEFF_LMM ;|exec PDY_PDML_TRVL_QLF.MI_T_W_VAUX_COEFF_LMM ;|exec PDY_PDML_TRVL_QLF.MC_T_W_VAUX_COEFF_LMM ;
PDML_IDA|16|CDC_BY_PRFL_GPM_DR|Calcul des CDC LMM|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_CDC_BY_PRFL_GPM_DR_LMM|exec PDY_PDML_TRVL_QLF.MD_T_CDC_BY_PRFL_GPM_DR_LMM ;|CALL PDY_PDML_TRVL_QLF.P_LOAD_T_CDC_BY_PRFL_GPM_DR_LMM (:dateDebut, :dateFin,'DR') ;|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;
PDML_IDA|17|CDC_BY_PRFL_GPM_EPCI|Calcul des CDC LMM|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_CDC_BY_PRFL_GPM_DR_LMM|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;|CALL PDY_PDML_TRVL_QLF.P_LOAD_T_CDC_BY_PRFL_GPM_DR_LMM (:dateDebut, :dateFin,'CD_EPCI') ;|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;
PDML_IDA|18|CDC_BY_PRFL_GPM_SOURCE|Calcul des CDC LMM|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_CDC_BY_PRFL_GPM_DR_LMM|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;|CALL PDY_PDML_TRVL_QLF.P_LOAD_T_CDC_BY_PRFL_GPM_DR_LMM (:dateDebut, :dateFin,'CD_GDO_POSTE_SOURCE') ;|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;
PDML_IDA|19|CDC_BY_PRFL_GPM_DEP_HTA|Calcul des CDC LMM|SQL|teradata-pdml-ihm|PDY_PDML_TRVL_QLF.T_CDC_BY_PRFL_GPM_DR_LMM|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;|CALL PDY_PDML_TRVL_QLF.P_LOAD_T_CDC_BY_PRFL_GPM_DR_LMM (:dateDebut, :dateFin,'CD_GDO_DEPART_HTA') ;|exec PDY_PDML_TRVL_QLF.MC_T_CDC_BY_PRFL_GPM_DR_LMM ;
